tta1,tta2,tta3,tta4,tta5,tta6,tta7,tta8,tta9,tta10,tta11,tta12,tta13,tta14,tta15,tta16,tta17,tta18,tta19,tta20,tta21,tta22,tta23,tta24,tta25,tta26,tta27,tta28,tta29,tta30,tta31
0,0,-2.633,0,-0.7131,-4.328,-3.911,-6.325,0,0.4592,0,0,-1.752,0,0,0,0,-1.57,-2.068,-1.727,0,-2.096,0,0,-0.7128,1.019,0,-2.636,0,0,0
0,0,-1.712,0,-3.587,-3.233,0.4852,-2.311,0,0.1966,0,0,-1.521,0,-1.041,1.066,0,-1.28,-0.4542,-0.1826,0,0,0,0.2069,0,1.482,0,0,0,0,-5.143
-0.2445,-1.158,-1.772,0,0,0,0,1.745,0,0,0,0,0,3.338,-2.042,1.862,2.915,-0.4145,-1.347,0,-0.5779,0,0,0,0,0.01667,0,0,0,0,-0.8899
-2.658,-0.4626,-6.551,0,-0.5245,0,0,-4.283,0,0,0,-6.095,0,3.84,-1.496,1.59,3.286,0.4914,-1.222,0,-2.53,1.89,0,0,0,0,0,0,0,0,-6.275
0,-0.2889,-5.452,0.5421,0,0,0,-0.002309,0,0,1.015,-7.144,0,4.172,0,1.234,0,0,-1.474,0,-4.891,-5.639,0,0,0,0,0,0,0,0,-6.301
0,0,-3.195,0.6964,0,-2.055,0,0,0,0,0,-4.26,0,3.539,0,1.269,0,0,-1.247,0,-3.602,-0.8161,0,0,0,0,0,0.3261,0,0,0
-1.321,0,-3.851,0.8534,0,-0.4662,0,0,0,0,-1.694,-0.5035,0,1.333,0,0.5733,0,0,-0.2449,0,-1.807,-6.056,0,0,0,0,0,-2.956,0,-0.691,0.2275
-5.403,0,-3.796,0.2162,-0.08619,-2.455,-1.101,0,0,0,-1.302,-1.576,0,0,-4.923,0,0.6388,0,-1.271,-1.047,-5.763,-0.3836,0.5003,-2.1,0,0,-0.4323,-4.918,0,0,-1.775
0,0.5008,-0.1333,0.1446,0,-2.979,-2.001,0,0,1.866,-6.02,-2.359,0,0.3279,-2.476,0,0,0,-2.726,0,0,0.475,0,-3.343,0,0,0,-4.108,0,0,0
0,0.2474,-3.233,0,0,-3.145,0,0.4079,0,2.602,-4.388,-7.196,0,-0.06325,0,0,0,0,-2.674,0,0,0,-0.9758,-1.787,0,0,0,-5.203,0,0,-2.594
-1.141,-0.8469,-1.705,0,-2.116,-2.781,0,-1.331,0,2.183,-3.169,-1.848,0,0,0,0,1.28,0,-2.105,0,0,0,0.1272,-1.081,0,0,0,-3.505,0,1.64,-2.827
-5.051,0,-2.456,-1.022,-3.65,0,0,0,0,1.55,-3.169,-1.064,0,1.916,0,0,1.536,0.1996,-2.121,0,2.01,0,0.6809,-1.157,0,0,0,0,0,0,-1.637
0,0,0,-1.444,-3.797,-1.703,-1.471,0,0,1.438,-3.302,-2.255,0,0,0,0,0,-1.186,-1.621,0,0,0,1.706,-2.328,0,0,0,0,-0.8716,0,-5.816
-2.91,0,-2.97,-0.951,-2.991,-2.238,-3.751,0,0,1.348,-0.9507,-3.195,0,0,-1.513,0,0,-0.3493,-2.29,-0.9858,0,-2.072,2.274,-1.252,0,0,0,0,0.02511,0,-1.81
-4.274,0,-5.542,0.4857,-1.793,-3.53,-3.98,0,-0.5869,1.692,0,-4.551,-0.9051,0,-1.76,0,0,-0.07028,-1.169,-1.949,0,-7.165,0.9185,0.2254,0,0,0,-1.219,0,1.797,-3.332
-4.601,0,-6.366,0.8261,0,-0.7312,-0.518,0,-1.877,0.4307,0,-2.854,-0.4555,0,0,0,0,0,-1.157,-2.368,0,-1.57,2.642,0,0,-0.06119,0,-1.687,0,2.612,0
1.467,0,-4.558,0.8079,0,-4.098,0.5928,0,-0.4786,0,0,-2.107,-1.545,0,0,-0.3457,-1.624,-0.9855,-1.254,-0.3759,-0.8655,-4.341,0,0,0,0.3881,0,-2.767,-0.6311,2.051,0
0,0,-1.539,0.6921,0,-6.606,-4.469,0,0,0,0,0,0,0,-2.483,0.9178,0,0,-1.653,0,0,-3.036,0,0,0,0.3363,0,-5.044,1.495,2.049,-1.809
0,0,-4.279,0,0,-1.071,-2.524,0,0,0,0,0,0,0,-1.011,2.093,0,0,-0.7269,-0.1749,0,-3.636,0.9817,0,0,2.732,0,-2.281,0.6097,0,0
-0.1014,0,-2.096,0,0,-2.563,-0.3866,0,0,0,0,0,0,0,0,-0.4819,0,0,-0.5148,-0.5401,0,-2.418,-1.594,-3.041,0,2.369,0,-2.632,1.252,0,0
-3.008,0,-5.257,0,0,0,0,0,0,0,0.5958,0,0,0.5423,-3.001,-0.3957,0,0,-1.089,-1.31,0,-5.175,0,-1.068,0,0,0,-3.994,0,0,0
-3.12,0,-3.086,0,0.8554,0,-1.524,0,1.753,0,0,0,0,-0.5583,-2.844,0.751,0,0,-2.257,-1.099,0,-4.042,0,-2.387,0,-0.006498,0.4368,-1.786,0,0,0
-3.021,-0.08396,-4.082,0,-1.028,-3.119,-3.446,0,0.6156,-1.217,0,0,0,0,-2.583,0.2919,0,0,-0.5625,-0.8447,0,-4.138,0,-0.867,0,0,2.04,-5.506,0,0,-1.21
-2.076,0.766,0,0,-2.973,0,-2.496,-3.039,2.049,-1.623,0,0,0,0,-5.503,0.7053,0,0.04092,-0.8331,-0.5955,0,0,0,-1.052,0,0.4966,3.305,-4.231,0,0,-2.456
0,0.8416,0,0,-1.728,-3.753,-1.581,0.1548,0.1393,0,0,0,0,0,-1.827,0,0.002574,0,-1.799,0,0,0,0,-2.022,0,0,1.129,-6.744,-0.05282,0,0
0,0,0,0,0,-2.608,-3.293,-1.964,0,0,0,0,0,-0.2251,-5.015,-0.06713,0,0,-1.72,0,-4.646,0,0,-0.9227,0,1.451,-1.364,-2.356,0,0,0
0,0,0,0,0,-2.013,-5.174,-0.7429,0,0,0,-4.865,0,3.274,-3.053,-0.889,0,0,-1.186,0.2733,-4.748,-2.329,0,-1.968,0,1.496,0,-1.512,0,0,0
0,0,-4.279,0,-4.07,-4.804,-4.821,-0.3549,-0.2894,0,-2.315,-3.028,0,4.069,0,-0.3979,0,0,-2.654,-1.484,0,-1.484,0.8417,-1.785,0,0,0,-2.024,0,0,0
0,0,-1.392,0,-1.889,0,-3.893,0,1.09,0.2221,-1.833,0,0,2.165,0,0.1136,0.2127,0,-1.45,0.196,-2.674,-5.952,0,0,0,0,0,-1.278,0,0,0
-2.516,0,-2.735,0,-1.999,0,-4.792,0,0,1.852,0,0,0,4.174,0,0,0,0,-1.557,-0.5923,-0.3194,-6.319,0,0,0,0.3222,0,-0.403,0,0,0
-2.22,0,-1.567,0,0,0,-2.098,0,0,2.148,-9.123,0,0,5.274,0,0,0,0,-1.432,-1.389,-5.441,-4.103,0,-4.621,-2.014,2.538,0,-1.287,0,0,0
-5.109,0.4341,-4.243,0,0,0,-0.7021,0,0,2.128,-0.5015,0,0,5.377,0,0,0,0,-1.493,0,0,-8.8,1.226,-0.7823,0,1.667,0,-1.515,0,-1.902,-0.4908
