beta0,beta1,y_p
214.2,-2.888,99.82
220.4,-4.303,151.9
225.5,-4,127.3
216.6,-4.107,119.6
230.8,-3.193,122.6
213.7,-3.009,184.2
225.8,-2.977,150.9
219.8,-1.745,178.3
224.6,-3.757,153.4
223,-3.039,150.8
219.7,-3.372,152
217.8,-3.319,86.41
228.4,-4.172,155.5
227.5,-3.603,175.3
222.7,-3.305,157.5
211.2,-3.243,145.5
214.1,-3.106,218.7
218.9,-2.925,204.5
217.5,-3.03,128.9
219.4,-3.017,155.4
221.5,-4.021,175.1
231,-3.958,153
217.8,-4.036,157.4
221.4,-2.923,191.9
228.3,-2.966,186.9
219.3,-3.284,152.7
224.5,-3.778,127
222.3,-3.531,154.2
220.7,-3.583,175
223.6,-3.708,167.1
222.8,-2.406,95.09
229.3,-2.696,158.9
218.5,-2.259,142.1
217.7,-3.388,173.1
229.8,-2.767,260.5
233.2,-3.268,217.1
223.2,-3.27,129.2
222.5,-3.398,115.4
222.2,-3.451,165.3
218.9,-3.479,148.7
215.5,-3.709,155.7
226.4,-3.966,126.2
221.6,-3.057,151.7
226.8,-3.479,136.5
220.3,-3.19,143.6
227.8,-3.062,165.2
218.7,-3.682,145.7
218.4,-3.635,136.9
218.5,-3.455,146.6
229.9,-3.037,149
223.3,-3.379,95.84
224.3,-3.295,148.6
220.7,-2.734,80.03
226.1,-3.159,155.2
221.1,-2.888,200.7
222.9,-3.722,157
223.5,-3.398,177.3
223.3,-2.827,186.7
219.3,-3.146,151.1
230,-3.054,131.8
216.9,-2.875,203.6
220.9,-3.571,160.4
219.4,-2.758,192.5
218.2,-3.674,135.3
222,-3.66,166.7
226,-3.512,153.4
224.8,-3.227,136.5
223,-4.041,191
217.9,-3.156,118.3
215.2,-4.306,139
210.5,-3.633,168.4
214.9,-2.517,129.7
221.8,-2.974,160.9
216.8,-3.323,150.1
220.2,-3.26,167
228.5,-4.258,131.8
217,-2.735,153.1
217.4,-3.985,141.5
225.2,-2.107,220.3
218.9,-3.765,92.82
215.8,-3.687,149.8
208.2,-3.49,137.2
227,-2.719,135.6
224.1,-2.775,158.9
229.6,-3.696,146.5
232.1,-2.8,167.8
220.4,-3.338,130.5
215.7,-3.048,163.7
217.6,-3.971,159.6
217.5,-3.511,147.4
228.4,-2.948,189.8
223.4,-4.001,148.6
214,-3.219,170
225.8,-3.615,144.6
217.4,-3.876,135.6
