beta0,beta1,yp
219.8,-3.274,131.7
219.1,-3.602,151.9
219.9,-2.485,214.3
215.3,-2.984,149.3
239.9,-3.203,186.1
222.7,-4.408,130.3
212.2,-3.261,142.4
220.1,-2.568,207.7
210.6,-3.838,108.4
224.7,-4.425,138
219.6,-2.534,125.6
225.2,-3.163,134.8
219.1,-3.808,180.7
224.8,-3.386,153.2
217.8,-2.661,149.5
224.4,-2.869,148.2
230,-3.537,185
215.9,-4.348,169.5
216.5,-3.01,174.5
226,-3.047,124.6
229.1,-2.632,175.3
224.8,-3.44,139.6
214.4,-3.02,170.1
211.4,-3.593,198.1
219.4,-3.991,63.16
216.4,-4.032,106.5
225,-3.711,143.7
211.8,-4.088,143.7
226.2,-2.419,150.9
224,-3.812,118.9
228,-3.027,155
223.7,-3.684,169
219.3,-2.188,205.8
223.8,-3.385,198.3
216.1,-4.087,155.1
226.8,-2.935,204.8
219.7,-2.92,98.6
215.9,-3.128,151.8
224.3,-4.057,134.7
225.2,-3.329,183.5
228.6,-3.096,169.9
227.4,-3.884,203.4
221.7,-2.869,113.7
226.9,-3.346,156.2
219,-2.929,153.6
219.4,-3.405,167.1
227.4,-3.401,163.1
218.2,-3.035,154.1
219.1,-3.052,124.6
222,-3.221,206.1
218.8,-3.189,168.2
217.4,-3.152,157.6
216.4,-3.089,172.2
213,-3.087,133.1
223.6,-3.806,192
234.8,-3.66,155.4
227.6,-3.024,161.6
217.3,-3.723,99.32
223.1,-3.575,110.9
219.2,-3.16,141.7
216.1,-2.766,166.8
220.8,-2.943,175.8
224,-3.073,147.8
220.1,-3.651,150.7
220,-2.508,183.7
208.8,-3.035,146.9
223.2,-3.279,171.5
222.4,-3.628,205.7
222.7,-3.786,130.1
226.3,-3.129,164.9
216.6,-3.473,182.2
216.7,-3.205,207.2
219.1,-3.354,165.9
222.4,-2.767,190
215.6,-4.12,156.8
216.2,-3.942,151.8
217.8,-3.444,119.9
210.7,-3.576,176.4
222.4,-2.645,163.7
218.5,-4.609,130.3
222.9,-3.17,154
221.1,-3.551,158.9
222.5,-3.921,137.4
225,-2.742,121.7
217.5,-4.116,133.1
219.1,-2.956,168.4
218.8,-4.231,104.4
220.8,-2.27,98.69
223.4,-3.343,105.5
223.8,-3.097,142.5
230.3,-4.286,136.2
219.8,-3.237,146
232.1,-3.869,177.4
226.7,-2.308,235.7
216.5,-2.352,190
227.9,-3.708,123.3
218.9,-3.618,220.6
219.5,-3.033,192.1
221.6,-4.051,175
213.9,-3.706,161.9
224.3,-3.79,149.6
225.5,-4.293,125.8
231,-3.552,189.7
214.7,-2.778,177
224.1,-3.782,155.8
218.3,-2.94,113.9
216.5,-3.815,132.4
218.3,-2.779,157.3
221.7,-4.153,102.5
215.7,-2.917,103.2
220.5,-3.54,140.6
223.3,-2.942,151.5
216.1,-2.78,134.9
222,-3.343,124.2
221.6,-3.675,143.5
231.4,-2.794,231.5
223.2,-3.054,138.9
217,-3.212,152.2
220.2,-3.155,193.8
216.7,-3.819,99.38
217.8,-3.216,192.9
224.7,-3.453,188.9
216.6,-3.118,170.9
219.8,-3.29,154
214.4,-2.605,185.3
217.8,-2.714,164.6
210.1,-3.095,110.6
224.2,-3.763,117
223.7,-3.1,130.7
225.4,-3.829,147.1
219.6,-3.219,165.2
219.5,-4.209,130.6
