beta0,beta1,yp
219.4,-2.476,177.7
216.4,-3.068,149.9
221.7,-3.165,154.1
217.8,-3.199,156.7
218.9,-3.62,169
221.9,-3.081,128.7
219.5,-2.932,154.9
222.3,-3.03,158.4
209.7,-2.139,232.4
224.6,-3.088,178.3
218.3,-2.859,194.5
223.6,-2.901,125.7
224.6,-3.792,122.3
210.2,-3.406,92.05
218,-3.211,112
220.9,-3.68,121.3
215.5,-2.605,138.4
222.3,-2.74,179.2
208.6,-3.183,104.4
218.2,-3.706,109.6
227.3,-3.273,206.3
214.3,-3.398,119.5
217.9,-3.139,134.9
221.4,-2.13,134.2
214.1,-3.456,124.3
230.6,-3.304,261.7
223.5,-3.373,162.2
221.1,-2.493,162.7
212.5,-3.944,182
223.7,-2.44,126.5
220.7,-2.365,128.1
218,-3.937,144.6
231.2,-4.099,111.4
218.2,-2.976,127.6
212.9,-3.187,159
215.7,-2.747,148.2
221.7,-3.169,142.6
216.4,-3.869,97.8
217.6,-2.171,143.6
218.8,-3.248,141.5
223.1,-2.897,115.4
225.4,-2.403,139.6
219,-2.961,116.4
224.3,-2.557,194.3
220.7,-2.9,206.1
215.1,-2.888,221.4
221,-3.348,202.7
214.2,-3.035,145
217.1,-3.178,164.4
215.2,-3.209,178.8
216.6,-2.429,265.7
220,-2.933,215.8
220.6,-3.867,155.9
222.1,-3.985,162.1
220.1,-3.514,186.2
215.5,-1.987,146.8
221.9,-3.366,140
227,-2.979,155.4
225.4,-3.131,171.9
225.9,-3.19,136.4
218.2,-2.941,133.7
215.5,-3.218,134.1
220.2,-3.58,158.2
220.2,-2.58,142.7
214.7,-3.279,132.6
218.9,-3.854,154.3
220.8,-3.857,119.8
225.2,-4.44,133.2
219.5,-3.554,104.5
216.8,-2.956,166.6
222.5,-3.508,161.2
220,-2.837,124.8
227.7,-3.569,91.71
233.6,-3.598,153.8
219,-3.553,166.6
212.4,-3.583,141
215.6,-3.662,143.5
222.3,-3.648,110.9
221.4,-2.868,125.9
223.2,-3.451,171.6
229,-4.304,196.2
217.6,-4.763,98.53
230.4,-3.667,202.4
221.6,-3.62,153.6
228.1,-3.836,126.6
220.3,-3.581,165.6
215.3,-2.961,135.3
217.1,-2.913,144.7
221.1,-4.2,139.3
210.4,-2.12,156.7
221.3,-2.924,172.2
231.9,-2.854,172.5
218.4,-3.465,156.3
209.3,-3.725,147.3
212.8,-2.459,147.8
222,-3.334,184.7
225.7,-3.6,163.2
213.8,-3.059,187.1
221.9,-2.474,197.5
215.7,-3.755,112.3
226,-3.829,179.1
220.9,-4.149,152.1
228.8,-3.504,166
219,-3.693,164.4
216.8,-2.595,105.8
220.6,-2.611,162.5
223,-2.973,134.9
221.4,-4.211,109.5
224,-3.272,197.6
216.3,-2.68,215.5
225.6,-3.326,83.78
213.8,-3.243,160
224,-3.424,178.7
222.6,-3.117,189.5
217.5,-4.022,170.9
230.3,-2.848,118.5
224.6,-2.952,194.7
217.1,-3.39,191
224.2,-3.859,181.9
212.4,-4.523,132.9
221.6,-2.867,123.6
224,-3.275,162.8
220.5,-3.467,138.6
226.9,-3.017,161.6
226.8,-3.172,198
224.7,-2.401,191.3
214.7,-3.748,160.8
216.7,-2.591,177.4
222.8,-2.783,207.1
215.8,-3.32,152.9
